community_id,id,author_mod,replies,favorites,retweets,total,source
404,462330992984727552,0,0,0,0,0,Twitter for Websites
404,437946104835887104,0,0,1,2,3,Twitter for Websites
404,437664561957572608,0,0,0,0,0,Twitter for Websites
404,436909937575227392,0,0,0,0,0,Twitter for Websites
404,435239384430829568,0,0,0,1,1,Twitter for Websites
404,435049652400824320,0,0,0,0,0,Twitter for Websites
404,434661106863177728,0,0,1,1,2,Twitter for Websites
404,434442679230160896,0,0,1,8,9,TweetDeck
404,434442096758386688,0,0,0,1,1,Twitter Web Client
404,434142325392957440,0,0,1,0,1,Twitter Web Client
404,436552912341598208,0,0,0,0,0,Hootsuite
404,436384209041518592,0,0,0,0,0,Twitter for Websites
404,436220272468049920,0,0,0,0,0,Hootsuite
