id,replies,favorites,retweets,total,source
352741505934426112,0,0,0,0,Twitter for Websites
425207746196037632,0,0,0,0,Twitter for Websites
423184019379847168,0,0,0,0,Twitter for Websites
515635530839494657,0,0,0,0,Twitter for Websites
501285787799789568,0,0,0,0,Twitter for Websites
298731766313807872,0,0,0,0,Twitter for Websites
296969590502748162,0,0,0,0,Facebook
296620244515057664,0,0,0,0,Twitter for Websites
295872003381030912,0,0,0,0,Twitter for Websites
295841383695134720,0,0,0,0,Facebook
295568471557808128,0,0,0,0,Hootsuite
295518166858227712,0,0,0,0,Twitter for Websites
299156172479557632,1,0,0,1,Twitter Web Client
294042127397167104,0,0,2,2,Twitter Web Client
294089559250178048,0,0,0,0,Twitter for Websites
294041796294627328,0,0,2,2,Twitter Web Client
298706788369436672,0,0,1,1,Twitter for iPhone
298483789242462208,0,0,0,0,Twitter for Websites
296845526735933440,0,0,1,1,Twitter for Websites
296689433762222080,0,0,2,2,Twitter for Websites
296684595141824512,0,1,0,1,Twitter for Websites
296379810219974656,1,0,0,1,Twitter for Websites
296244006176845825,0,2,4,6,Twitter Web Client
296186314003456000,0,0,0,0,Twitter for Websites
296181704182337537,0,0,0,0,Twitter for Websites
296181615397326848,0,0,0,0,Twitter for Websites
296180814834720768,0,0,1,1,Twitter for Websites
296180087991193600,0,0,1,1,Twitter for Websites
296179290863726593,4,0,2,6,Facebook
295989124341575680,0,1,2,3,Twitter for Android
295572379227262976,0,0,1,1,Twitter Web Client
294831561268928514,0,0,1,1,TweetDeck
296563362052046849,0,0,0,0,Twitter for Websites
296293499236646913,0,0,0,0,Twitter for Websites
295807609380929536,0,0,0,0,Twitter for Websites
294447195976003584,0,0,0,0,Twitter for Websites
293771171218984960,0,0,0,0,Twitter for Websites
294127158002077696,0,0,0,0,Twitter for Websites
294756283272265728,0,0,0,0,Twitter for Websites
294383900380258304,0,0,0,0,Twitter for Websites
296277573242089473,0,0,0,0,Twitter Web Client
325923365909037057,0,0,0,0,Twitter for Websites
325921606578888704,0,0,0,0,Twitter for Websites
301708837323427840,0,0,0,0,Twitter for Websites
306788281746599937,0,0,0,0,TweetDeck
306873087574548480,0,0,0,0,Hootsuite
306873089550086145,0,0,1,1,Hootsuite
